train_loss,train_acc,valid_loss,valid_acc
0.1602502522931012,0.865694522857666,0.43382046223850923,0.8999999761581421
0.06868992595392522,0.954144299030304,0.23093041017709764,0.949999988079071
0.05859288358544405,0.9618188738822937,0.195772162391404,0.949999988079071
0.05990742881739429,0.9627782106399536,0.2795939229967246,0.8999999761581421
0.046173230092353634,0.9714121222496033,0.030982653105456847,1.0
0.03280487228622397,0.9783192873001099,0.13377422159301205,0.949999988079071
0.03909870741981881,0.9754412770271301,0.05531625955773052,1.0
0.02562098961552766,0.9842670559883118,0.020476079301448635,1.0
0.034643699132952586,0.9779355525970459,0.11687639496694828,0.949999988079071
0.032182912034706634,0.978894829750061,0.04840679363101117,0.949999988079071
0.01949927842386952,0.9869531989097595,0.004720784635355813,1.0
0.023021326894943815,0.9873369336128235,0.02566962059145226,1.0
0.02354424621943144,0.9879125356674194,0.006741205959576746,1.0
0.02019570056508449,0.9892555475234985,0.038767768663825565,1.0
0.013832196287262058,0.9917498230934143,0.04156560018191158,0.949999988079071
0.014030438088651148,0.9915579557418823,0.013382234144957294,1.0
0.020780829036344116,0.9890636801719666,0.004434268131444696,1.0
0.015200564952629534,0.9904067516326904,0.03544681123457991,1.0
0.011552034926871152,0.9929010272026062,0.0025032727236975914,1.0
0.00750336456562831,0.9967383146286011,0.0018221822844679992,1.0
0.01572805353498533,0.9915579557418823,0.004593152911184006,1.0
0.011662249883215188,0.9938603043556213,0.0037223726481897756,1.0
0.010243050864056552,0.9952033758163452,0.028967132544494234,1.0
0.015024654931949983,0.9923254251480103,0.028739810924798805,1.0
0.011007273219766715,0.9944359064102173,0.0030761525325942785,1.0
0.008344478405163926,0.9969301819801331,0.009853674471607121,1.0
0.007583545823465521,0.9950115084648132,0.0015207346423949275,1.0
0.011127002000348418,0.9938603043556213,0.003171312726499309,1.0
0.003519588860257276,0.997505784034729,0.0005558312163884693,1.0
0.012269856029091678,0.9959708452224731,0.00747878430458968,1.0
0.006431558270489196,0.9967383146286011,0.004566130399871327,1.0
0.006792225009004573,0.9976975917816162,0.0025559914120549367,1.0
0.006706271119116678,0.997122049331665,0.0010166451625995166,1.0
0.001899510229247936,0.9986569285392761,0.0008346613300574291,1.0
0.010797194418577833,0.9955871105194092,0.0035425112311713745,1.0
0.00854981067103771,0.9950115084648132,0.0010064116679586732,1.0
0.007580584620360143,0.997122049331665,0.0044686513559781815,1.0
0.012179558845037866,0.9953952431678772,0.011960578824391633,1.0
0.009584472581405122,0.997505784034729,0.007436834643931434,1.0
0.002938190747553904,0.9986569285392761,0.006169439107208063,1.0
0.005702100561924918,0.9969301819801331,0.008757744712056592,1.0
0.003046429320233159,0.9990406632423401,0.003752321004868264,1.0
0.008287343695057306,0.9965464472770691,0.012023661309240197,1.0
0.0012863773600918847,0.9990406632423401,0.00044261813165213937,1.0
0.007747319609173564,0.997313916683197,0.1650477446624336,0.949999988079071
0.007852835832879808,0.9963545799255371,0.006415502722018118,1.0
0.0012226848519137257,0.999424397945404,0.0021772159283528934,1.0
0.002800985078047093,0.9986569285392761,0.012881635142366576,1.0
0.0026808035955060944,0.9986569285392761,0.0014460840262472629,1.0
0.010086544099935639,0.9969301819801331,0.007912033340312518,1.0
